"","SHELFMARK","MID","Run","BB","SP","BD","CL","INC","BBID","BBNF","BBF1T","BBF1ID","BBF2T","BBF2ID","BBF3T","BBF3ID","BBF4T","BBF4ID","SPID","SPNF","SPF1T","SPF1ID","SPF2T","SPF2ID","SPF3T","SPF3ID","SPF4T","SPF4ID","SPF5T","SPF5ID","SPF6T","SPF6ID","SPF7T","SPF7ID","SPF8T","SPF8ID","BD1ID","BD2ID","CLP1","CLP1CSR","CLP2","CLP2CSR","BD1BDCLC1ID","BD2BDCLC1ID","BD2CSR1ID","BD1BDCLC2ID","BD2BDCLC2ID","BD2CSR2ID","SR","AR","SIR","VSR","KCR"
"738","Syriac0217","MID1230013166",1,2,3,0,0,13166,"CID1011888",2,"sawn-in recesses","FID10014310","sawn-in recesses","FID10014311",NA,NA,NA,NA,"CID1011887",2,"sawn-in recesses","FID10014310","sawn-in recesses","FID10014311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
"739","Syriac0219","MID1230013167",1,2,3,0,0,13167,"CID1011890",2,"v-shaped recesses","FID10014312","v-shaped recesses","FID10014313",NA,NA,NA,NA,"CID1011889",6,"v-shaped recesses","FID10014312","v-shaped recesses","FID10014313","sewing recesses","FID10014314","sewing recesses","FID10014315","sewing recesses","FID10014316","sewing recesses","FID10014317",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE
"740","Syriac0228","MID1229013174",1,2,2,9,0,13174,"CID1011916",2,"knife-cut recesses","FID10014346","knife-cut recesses","FID10014347",NA,NA,NA,NA,"CID1011915",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011917","CID1011918",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE
"741","Syriac0242","MID1231013186",1,2,3,1,0,13186,"CID1011964",2,"knife-cut recesses","FID10014398","knife-cut recesses","FID10014399",NA,NA,NA,NA,"CID1011963",4,"sewing recesses","FID10014394","sewing recesses","FID10014395","sewing recesses","FID10014396","sewing recesses","FID10014397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE
"742","Syriac0246","MID1209013189",1,2,0,9,0,13189,"CID1011973",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011974","CID1011975",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"743","Syriac0267","MID1230013204",1,2,3,0,0,13204,"CID1012033",2,"sawn-in recesses","FID10014470","sawn-in recesses","FID10014471",NA,NA,NA,NA,"CID1012032",2,"sawn-in recesses","FID10014470","sawn-in recesses","FID10014471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
"744","Syriac0275","MID1209013211",1,2,0,9,0,13211,"CID1012058",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1012059","CID1012060",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"745","Syriac0286","MID1232013219",1,2,3,2,0,13219,"CID1012090",2,"knife-cut recesses","FID10014538","knife-cut recesses","FID10014539",NA,NA,NA,NA,"CID1012089",4,"sewing recesses","FID10014534","sewing recesses","FID10014535","sewing recesses","FID10014536","sewing recesses","FID10014537",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1012091",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE
"746","Syriac0294","MID1233013224",1,2,3,3,0,13224,"CID1012109",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1012108",3,"adhesive recesses","FID10014562","adhesive recesses","FID10014563","adhesive recesses","FID10014564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1012110",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"747","Syriac0295","MID1209013225",1,2,0,9,0,13225,"CID1012111",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1012112","CID1012113",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
